epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,4655.9,0.86097,2.55305,0.72897,1.14282,0.63146,0.46904,0.46688,0.3609,0.5896,0.43775,0.40983,0.20764,1.0571,2.98275,1.04793,1.38088,0.00028714,0.00028714,0.00028714
59,4737.69,0.86234,2.55326,0.72202,1.14481,0.58165,0.44958,0.43981,0.33912,0.54675,0.41267,0.37508,0.19559,1.05063,2.98299,1.03147,1.38278,0.00028516,0.00028516,0.00028516
60,4817.98,0.86918,2.58338,0.7162,1.15165,0.57059,0.45442,0.46475,0.35989,0.53574,0.41799,0.40366,0.21222,1.0464,2.94653,1.04079,1.38068,0.00028318,0.00028318,0.00028318
61,4898.23,0.86995,2.58525,0.70755,1.15005,0.59635,0.48097,0.48446,0.36966,0.56147,0.44672,0.42286,0.21801,1.04305,2.95223,0.99976,1.37515,0.0002812,0.0002812,0.0002812
62,4978.03,0.85306,2.54901,0.69721,1.14105,0.66635,0.46447,0.47659,0.3724,0.62332,0.4271,0.41218,0.20883,1.04541,2.91741,1.01631,1.38233,0.00027922,0.00027922,0.00027922
63,5058.26,0.8586,2.5535,0.70092,1.14137,0.57203,0.47873,0.47088,0.3728,0.53399,0.44044,0.41269,0.21776,1.04833,2.96784,1.03533,1.37438,0.00027724,0.00027724,0.00027724
64,5138.56,0.86491,2.55904,0.69902,1.13917,0.60453,0.46991,0.4859,0.3818,0.5771,0.43232,0.42152,0.21793,1.04727,2.9899,0.99466,1.37829,0.00027526,0.00027526,0.00027526
65,5218.45,0.84921,2.5297,0.68969,1.13785,0.59873,0.47694,0.47556,0.37033,0.56635,0.44117,0.41499,0.20976,1.04591,2.99724,1.0396,1.3772,0.00027328,0.00027328,0.00027328
66,5299.53,0.85824,2.53873,0.69455,1.13917,0.56916,0.50709,0.48793,0.3791,0.53247,0.47078,0.4283,0.22488,1.04514,2.96605,1.00646,1.38601,0.0002713,0.0002713,0.0002713
67,5380.44,0.85292,2.55048,0.68313,1.13278,0.58288,0.46158,0.47009,0.36372,0.54876,0.42766,0.41282,0.21256,1.04042,2.92667,1.00597,1.3681,0.00026932,0.00026932,0.00026932
